mutation,welch_t,welch_p,ks_stat,ks_p,cohens_d,ci99_lo,ci99_hi,significant
0,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
1,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
2,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
3,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
4,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
5,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
6,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
7,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
8,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
9,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
10,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
11,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
12,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
13,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
14,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
15,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
16,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
17,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
18,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
19,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
20,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
21,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
22,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
23,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
24,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
25,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
26,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
27,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
28,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
29,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
30,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
31,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
32,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
33,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
34,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
35,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
36,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
37,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
38,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
39,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
40,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
41,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
42,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
43,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
44,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
45,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
46,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
47,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
48,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
49,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
50,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
51,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
52,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
53,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
54,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
55,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
56,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
57,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
58,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
59,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
60,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
61,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
62,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
63,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
64,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
65,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
66,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
67,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
68,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
69,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
70,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
71,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
72,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
73,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
74,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
75,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
76,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
77,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
78,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
79,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
80,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
81,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
82,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
83,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
84,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
85,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
86,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
87,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
88,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
89,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
90,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
91,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
92,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
93,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
94,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
95,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
96,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
97,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
98,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
99,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
100,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
101,nan,nan,0.000000,1.00e+00,0.000000,nan,nan,NO
