measurement,valid,zero_ct,flip_poly_u,flip_msg_v,random_ct,boundary_coeff
0,19000,19000,19000,19000,19000,19000
1,19000,19000,19000,19000,19000,19000
2,19000,19000,19000,19000,19000,19000
3,19000,19000,19000,19000,19000,19000
4,19000,19000,19000,19000,19000,19000
5,19000,19000,19000,19000,19000,19000
6,19000,19000,19000,19000,19000,19000
7,19000,19000,19000,19000,19000,19000
8,19000,19000,19000,19000,19000,19000
9,19000,19000,19000,19000,19000,19000
10,19000,19000,19000,19000,19000,19000
11,19000,19000,19000,19000,19000,19000
12,19000,19000,19000,19000,19000,19000
13,19000,19000,19000,19000,19000,19000
14,19000,19000,19000,19000,19000,19000
15,19000,19000,19000,19000,19000,19000
16,19000,19000,19000,19000,19000,19000
17,19000,19000,19000,19000,19000,19000
18,19000,19000,19000,19000,19000,19000
19,19000,19000,19000,19000,19000,19000
20,19000,19000,19000,19000,19000,19000
21,19000,19000,19000,19000,19000,19000
22,19000,19000,19000,19000,19000,19000
23,19000,19000,19000,19000,19000,19000
24,19000,19000,19000,19000,19000,19000
25,19000,19000,19000,19000,19000,19000
26,19000,19000,19000,19000,19000,19000
27,19000,19000,19000,19000,19000,19000
28,19000,19000,19000,19000,19000,19000
29,19000,19000,19000,19000,19000,19000
30,19000,19000,19000,19000,19000,19000
31,19000,19000,19000,19000,19000,19000
32,19000,19000,19000,19000,19000,19000
33,19000,19000,19000,19000,19000,19000
34,19000,19000,19000,19000,19000,19000
35,19000,19000,19000,19000,19000,19000
36,19000,19000,19000,19000,19000,19000
37,19000,19000,19000,19000,19000,19000
38,19000,19000,19000,19000,19000,19000
39,19000,19000,19000,19000,19000,19000
40,19000,19000,19000,19000,19000,19000
41,19000,19000,19000,19000,19000,19000
42,19000,19000,19000,19000,19000,19000
43,19000,19000,19000,19000,19000,19000
44,19000,19000,19000,19000,19000,19000
45,19000,19000,19000,19000,19000,19000
46,19000,19000,19000,19000,19000,19000
47,19000,19000,19000,19000,19000,19000
48,19000,19000,19000,19000,19000,19000
49,19000,19000,19000,19000,19000,19000
50,19000,19000,19000,19000,19000,19000
